gene_symbol	chrom	start	end	strand	ensembl_id
OR4F5	1	65419	71585	+	ENSG00000186092
OR4F29	1	450740	451678	-	ENSG00000284733
OR4F16	1	685716	686654	-	ENSG00000284662
SAMD11	1	923923	944575	+	ENSG00000187634
NOC2L	1	943527	960714	-	ENSG00000188976
KLHL17	1	960576	965719	+	ENSG00000187961
PLEKHN1	1	966437	975865	+	ENSG00000187583
PERM1	1	975194	982134	-	ENSG00000187642
HES4	1	998962	1000172	-	ENSG00000188290
ISG15	1	1001138	1014540	+	ENSG00000187608
AGRN	1	1020120	1056119	+	ENSG00000188157
RNF223	1	1070967	1074306	-	ENSG00000237330
C1orf159	1	1081811	1116361	-	ENSG00000131591
TTLL10	1	1173880	1197940	+	ENSG00000162571
TNFRSF18	1	1203508	1206592	-	ENSG00000186891
TNFRSF4	1	1211326	1214153	-	ENSG00000186827
SDF4	1	1216887	1238870	-	ENSG00000078808
B3GALT6	1	1232237	1235041	+	ENSG00000176022
C1QTNF12	1	1242446	1246722	-	ENSG00000184163
UBE2J2	1	1253907	1274477	-	ENSG00000160087
SCNN1D	1	1280436	1292029	+	ENSG00000162572
ACAP3	1	1292376	1309609	-	ENSG00000131584
PUSL1	1	1308567	1311677	+	ENSG00000169972
INTS11	1	1311585	1324687	-	ENSG00000127054
CPTP	1	1324756	1328897	+	ENSG00000224051
TAS1R3	1	1331280	1335314	+	ENSG00000169962
DVL1	1	1335276	1349945	-	ENSG00000107404
MXRA8	1	1352689	1361777	-	ENSG00000162576
AURKAIP1	1	1373729	1375521	-	ENSG00000175756
CCNL2	1	1385711	1399339	-	ENSG00000221978
MRPL20	1	1401908	1407306	-	ENSG00000242485
ANKRD65	1	1415637	1421769	-	ENSG00000235098
TMEM88B	1	1425871	1430255	+	ENSG00000205116
VWA1	1	1434861	1442882	+	ENSG00000179403
ATAD3C	1	1449689	1470163	+	ENSG00000215915
ATAD3B	1	1471756	1497848	+	ENSG00000160072
ATAD3A	1	1512147	1534686	+	ENSG00000197785
TMEM240	1	1534778	1540624	-	ENSG00000205090
SSU72	1	1541673	1574884	-	ENSG00000160075
FNDC10	1	1598012	1600135	-	ENSG00000228594
MIB2	1	1615434	1630610	+	ENSG00000197530
MMP23B	1	1631665	1635263	+	ENSG00000189409
CDK11B	1	1635225	1659234	-	ENSG00000248333
SLC35E2B	1	1659529	1693017	-	ENSG00000189339
CDK11A	1	1702379	1724482	-	ENSG00000008128
NADK	1	1751232	1780544	-	ENSG00000008130
GNB1	1	1785285	1892292	-	ENSG00000078369
CALML6	1	1915108	1917296	+	ENSG00000169885
TMEM52	1	1917589	1919329	-	ENSG00000178821
CFAP74	1	1921951	2003837	-	ENSG00000142609
GABRD	1	2019329	2030758	+	ENSG00000187730
PRKCZ	1	2050411	2185395	+	ENSG00000067606
FAAP20	1	2184461	2212720	-	ENSG00000162585
SKI	1	2227388	2310213	+	ENSG00000157933
MORN1	1	2319208	2391707	-	ENSG00000116151
RER1	1	2390670	2405444	+	ENSG00000157916
PEX10	1	2403964	2413797	-	ENSG00000157911
PLCH2	1	2425980	2505532	+	ENSG00000149527
PANK4	1	2508534	2526612	-	ENSG00000157881
HES5	1	2528745	2530263	-	ENSG00000197921
TNFRSF14	1	2554244	2565382	+	ENSG00000157873
PRXL2B	1	2586491	2591470	+	ENSG00000157870
MMEL1	1	2590639	2633016	-	ENSG00000142606
TTC34	1	2636986	2801693	-	ENSG00000215912
ACTRT2	1	3021467	3022903	+	ENSG00000169717
PRDM16	1	3069168	3438621	+	ENSG00000142611
ARHGEF16	1	3454550	3481127	+	ENSG00000130762
MEGF6	1	3487942	3611543	-	ENSG00000162591
TPRG1L	1	3624979	3630131	+	ENSG00000158109
WRAP73	1	3630767	3652761	-	ENSG00000116213
TP73	1	3652516	3736201	+	ENSG00000078900
CCDC27	1	3746460	3771645	+	ENSG00000162592
SMIM1	1	3772655	3776709	+	ENSG00000235169
LRRC47	1	3778559	3796511	-	ENSG00000130764
CEP104	1	3812086	3857723	-	ENSG00000116198
DFFB	1	3857267	3885429	+	ENSG00000169598
C1orf174	1	3889125	3900293	-	ENSG00000198912
AJAP1	1	4654609	4792534	+	ENSG00000196581
NPHP4	1	5862804	5993455	-	ENSG00000131697
KCNAB2	1	5990927	6101193	+	ENSG00000069424
CHD5	1	6101787	6180321	-	ENSG00000116254
RPL22	1	6185020	6209389	-	ENSG00000116251
RNF207	1	6205392	6221299	+	ENSG00000158286
ICMT	1	6221193	6235972	-	ENSG00000116237
HES3	1	6244179	6245578	+	ENSG00000173673
GPR153	1	6247347	6261098	-	ENSG00000158292
ACOT7	1	6264268	6393767	-	ENSG00000097021
HES2	1	6412418	6424690	-	ENSG00000069812
ESPN	1	6424776	6461367	+	ENSG00000187017
TNFRSF25	1	6460786	6466181	-	ENSG00000215788
PLEKHG5	1	6467122	6520074	-	ENSG00000171680
NOL9	1	6521347	6554536	-	ENSG00000162408
TAS1R1	1	6555307	6579755	+	ENSG00000173662
ZBTB48	1	6579994	6589280	+	ENSG00000204859
KLHL21	1	6590724	6614607	-	ENSG00000162413
PHF13	1	6613731	6624030	+	ENSG00000116273
THAP3	1	6624845	6635586	+	ENSG00000041988
DNAJC11	1	6634168	6701924	-	ENSG00000007923
CAMTA1	1	6785454	7769706	+	ENSG00000171735
VAMP3	1	7771296	7781432	+	ENSG00000049245
PER3	1	7784291	7845181	+	ENSG00000049246
UTS2	1	7843083	7853512	-	ENSG00000049247
TNFRSF9	1	7915871	7943165	-	ENSG00000049249
PARK7	1	7954264	7985505	+	ENSG00000116288
ERRFI1	1	8004404	8026312	-	ENSG00000116285
SLC45A1	1	8318104	8344167	+	ENSG00000162426
RERE	1	8352397	8848921	-	ENSG00000142599
ENO1	1	8860977	8879289	-	ENSG00000074800
CA6	1	8945867	8975092	+	ENSG00000131686
SLC2A7	1	9002973	9026423	-	ENSG00000197241
SLC2A5	1	9035106	9088478	-	ENSG00000142583
GPR157	1	9100305	9129122	-	ENSG00000180758
H6PD	1	9234774	9271337	+	ENSG00000049239
SPSB1	1	9292101	9369532	+	ENSG00000171621
SLC25A33	1	9539465	9585173	+	ENSG00000171612
TMEM201	1	9588721	9614877	+	ENSG00000188807
PIK3CD	1	9629889	9730117	+	ENSG00000171608
CLSTN1	1	9728926	9823993	-	ENSG00000171603
CTNNBIP1	1	9848269	9910368	-	ENSG00000178585
LZIC	1	9922113	9943407	-	ENSG00000162441
NMNAT1	1	9943428	9985501	+	ENSG00000173614
RBP7	1	9997054	10016021	+	ENSG00000162444
UBE4B	1	10032832	10181244	+	ENSG00000130939
KIF1B	1	10210533	10381606	+	ENSG00000054523
